Card Name,Old Board/List Name,New Board/List Name,Timestamp of Movement
Test this card,Done,In Progress,2025-01-20T14:51:10.332Z
Develop API Calls,To Do,In Progress,2025-01-20T14:51:11.516Z
Test this card,In Progress,Closed,2025-01-20T14:52:11.149Z
Develop API Calls,In Progress,Closed,2025-01-20T14:52:12.338Z
Write unit tests,Done,Closed,2025-01-20T14:53:34.549Z
Get trello keys,Done,Closed,2025-01-20T14:53:35.380Z
Get google keys,In Progress,Done,2025-01-20T14:54:15.881Z
Generate API Key,In Progress,Closed,2025-01-20T14:54:23.617Z
Get google keys,Done,Closed,2025-01-20T14:54:24.889Z
Get google keys,Closed,Done,2025-01-20T14:55:20.343Z
Generate API Key,Closed,In Progress,2025-01-20T14:55:21.911Z
Get google keys,Done,Closed,2025-01-20T14:57:20.538Z
Get google keys,Closed,Done,2025-01-20T14:57:21.521Z
Get trello keys,Closed,Done,2025-01-20T14:57:22.361Z
Develop API Calls,Closed,Done,2025-01-20T14:57:23.053Z
Get google keys,Done,In Progress,2025-01-20T14:57:29.859Z
Develop API Calls,Done,In Progress,2025-01-20T14:57:30.961Z
Get google keys,In Progress,Done,2025-01-20T14:57:37.763Z
Get trello keys,Done,To Do,2025-01-20T14:57:50.137Z
Generate API Key,In Progress,To Do,2025-01-20T14:59:33.291Z
Develop API Calls,In Progress,Done,2025-01-20T15:00:31.779Z
Test this card,Closed,Done,2025-01-20T15:00:35.257Z
Integrate all APIs,Closed,Done,2025-01-20T15:00:36.231Z
Get trello keys,To Do,In Progress,2025-01-20T15:00:44.067Z
Test this card,Done,In Progress,2025-01-20T15:01:20.579Z
Integrate all APIs,Done,In Progress,2025-01-20T15:01:21.430Z
Write unit tests,Closed,In Progress,2025-01-20T15:01:23.761Z
Get trello keys,In Progress,To Do,2025-01-20T15:30:51.884Z
Develop API Calls,Done,To Do,2025-01-20T15:30:52.599Z
Test this card,In Progress,Closed,2025-01-20T15:31:48.695Z
Write unit tests,In Progress,Closed,2025-01-20T15:31:49.667Z
Integrate all APIs,In Progress,Closed,2025-01-20T15:31:50.592Z
Get trello keys,To Do,Closed,2025-01-20T15:31:52.721Z
Integrate all APIs,Closed,Done,2025-01-20T15:31:59.822Z
Get trello keys,Closed,Done,2025-01-20T15:32:00.832Z
Write unit tests,Closed,In Progress,2025-01-20T15:32:02.196Z
Develop API Calls,To Do,In Progress,2025-01-20T15:32:03.333Z
Generate API Key,To Do,In Progress,2025-01-20T15:32:04.141Z
Test this card,Closed,To Do,2025-01-20T15:45:04.477Z
Generate API Key,In Progress,To Do,2025-01-20T15:45:06.303Z
Get google keys,Done,Closed,2025-01-20T15:45:08.156Z
Integrate all APIs,Done,To Do,2025-01-20T15:45:09.231Z
Integrate all APIs,To Do,Done,2025-01-20T15:46:54.404Z
Write unit tests,In Progress,Done,2025-01-20T15:46:55.745Z
Develop API Calls,In Progress,Done,2025-01-20T15:46:56.699Z
Generate API Key,To Do,In Progress,2025-01-20T16:03:08.522Z
Develop API Calls,Done,In Progress,2025-01-20T16:03:09.390Z
Write unit tests,Done,In Progress,2025-01-20T16:03:10.262Z
Test this card,To Do,In Progress,2025-01-20T16:06:28.635Z
Get trello keys,Done,In Progress,2025-01-20T16:06:29.850Z
Get trello keys,In Progress,To Do,2025-01-20T16:06:47.466Z
Integrate all APIs,Done,To Do,2025-01-20T16:06:48.899Z
Get google keys,Closed,To Do,2025-01-20T16:06:50.392Z
Test this card,In Progress,Done,2025-01-20T16:08:40.829Z
Write unit tests,In Progress,Done,2025-01-20T16:08:42.427Z
Get trello keys,To Do,Done,2025-01-20T16:14:09.954Z
Get google keys,To Do,Done,2025-01-20T16:14:11.705Z
Integrate all APIs,To Do,Closed,2025-01-20T16:14:13.197Z
Develop API Calls,In Progress,Closed,2025-01-20T16:14:14.461Z
Generate API Key,In Progress,To Do,2025-01-20T16:16:28.500Z
Write unit tests,Done,To Do,2025-01-20T16:16:31.381Z
Generate API Key,To Do,In Progress,2025-01-20T16:20:05.953Z
Write unit tests,To Do,In Progress,2025-01-20T16:20:06.999Z
Get trello keys,Done,In Progress,2025-01-20T16:20:08.058Z
Get google keys,Done,In Progress,2025-01-20T16:20:09.162Z
Test this card,Done,To Do,2025-01-20T16:23:39.921Z
Develop API Calls,Closed,To Do,2025-01-20T16:23:41.601Z
Integrate all APIs,Closed,To Do,2025-01-20T16:23:42.912Z
Get google keys,In Progress,Closed,2025-01-20T16:24:27.300Z
Write unit tests,In Progress,Closed,2025-01-20T16:24:28.467Z
Integrate all APIs,To Do,Done,2025-01-20T16:25:12.127Z
Get trello keys,In Progress,Done,2025-01-20T16:25:13.060Z
Generate API Key,In Progress,Done,2025-01-20T16:25:14.134Z
